 18-Sep-2016       (1.000 *bam1o20_0p25mg_ - 1.001 *bam1o20_buffer_) /  1.0000
bam1o20_0p25  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.326242E+00  0.218335E-03  0.583691E-03
  0.326971E+00 -0.339500E-03  0.593316E-03
  0.327700E+00  0.122343E-03  0.588605E-03
  0.328429E+00 -0.817190E-05  0.597413E-03
  0.329158E+00 -0.580225E-03  0.612893E-03
  0.329887E+00  0.296657E-03  0.595423E-03
  0.330616E+00 -0.158482E-03  0.600375E-03
  0.331345E+00  0.461683E-03  0.606622E-03
  0.332074E+00 -0.622405E-04  0.600942E-03
  0.332803E+00  0.210289E-03  0.615826E-03
  0.333532E+00  0.112233E-03  0.599951E-03
  0.334261E+00  0.179418E-03  0.593109E-03
  0.334990E+00  0.760969E-03  0.607111E-03
  0.335719E+00 -0.148071E-03  0.603557E-03
  0.336448E+00 -0.944805E-04  0.597483E-03
  0.337177E+00  0.266758E-03  0.614908E-03
  0.337906E+00 -0.547008E-03  0.607076E-03
  0.338635E+00  0.161542E-03  0.610248E-03
  0.339364E+00  0.354920E-03  0.598001E-03
  0.340093E+00  0.447915E-03  0.587249E-03
  0.340822E+00  0.121840E-03  0.606002E-03
  0.341551E+00 -0.148307E-03  0.598637E-03
  0.342279E+00  0.323834E-03  0.602118E-03
  0.343008E+00  0.372929E-03  0.604119E-03
  0.343737E+00  0.267175E-03  0.611942E-03
  0.344466E+00 -0.270197E-03  0.600452E-03
  0.345195E+00 -0.145305E-03  0.614987E-03
  0.345923E+00  0.541200E-03  0.608457E-03
  0.346652E+00  0.369179E-03  0.606942E-03
  0.347381E+00  0.418503E-04  0.599777E-03
  0.348110E+00  0.468106E-03  0.593565E-03
  0.348839E+00 -0.431360E-03  0.606291E-03
  0.349567E+00  0.496300E-03  0.593825E-03
  0.350296E+00  0.176510E-03  0.616895E-03
  0.351025E+00  0.138247E-03  0.601525E-03
  0.351753E+00  0.498729E-03  0.617638E-03
  0.352482E+00  0.693814E-03  0.614854E-03
  0.353211E+00 -0.479994E-03  0.602228E-03
  0.353940E+00 -0.939400E-05  0.603498E-03
  0.354668E+00  0.212988E-03  0.605518E-03
  0.355397E+00 -0.950697E-04  0.613163E-03
  0.356126E+00  0.408099E-03  0.611655E-03
  0.356854E+00  0.132709E-04  0.616534E-03
  0.357583E+00  0.745213E-03  0.618752E-03
  0.358311E+00  0.109008E-03  0.604483E-03
  0.359040E+00  0.158789E-03  0.610962E-03
  0.359769E+00  0.563485E-03  0.610489E-03
  0.360497E+00  0.170994E-03  0.607622E-03
  0.361226E+00 -0.440883E-03  0.610895E-03
  0.361954E+00  0.592105E-03  0.616220E-03
  0.362683E+00  0.479401E-03  0.631259E-03
  0.363411E+00 -0.250890E-03  0.614043E-03
  0.364140E+00  0.537334E-03  0.632402E-03
  0.364868E+00  0.114352E-03  0.645699E-03
  0.365597E+00  0.109048E-03  0.628808E-03
  0.366325E+00 -0.934422E-03  0.656703E-03
  0.367054E+00  0.744236E-04  0.630827E-03
  0.367782E+00  0.238945E-03  0.651855E-03
  0.368511E+00  0.735225E-03  0.642395E-03
  0.369239E+00  0.504959E-03  0.645340E-03
  0.369967E+00  0.344932E-03  0.665381E-03
  0.370696E+00 -0.823820E-05  0.646527E-03
  0.371424E+00  0.391336E-04  0.650089E-03
  0.372153E+00 -0.110390E-03  0.658034E-03
  0.372881E+00  0.352541E-03  0.649721E-03
  0.373609E+00 -0.308282E-03  0.664261E-03
  0.374338E+00 -0.198847E-03  0.659382E-03
  0.375066E+00  0.635071E-03  0.655228E-03
  0.375794E+00  0.476451E-04  0.640375E-03
  0.376523E+00  0.346272E-03  0.640390E-03
  0.377251E+00  0.848660E-03  0.654794E-03
  0.377979E+00 -0.266573E-04  0.641965E-03
  0.378708E+00 -0.401727E-03  0.638398E-03
  0.379436E+00 -0.401616E-03  0.646226E-03
  0.380164E+00  0.905904E-03  0.630093E-03
  0.380892E+00 -0.818993E-04  0.644024E-03
  0.381621E+00 -0.154440E-03  0.634718E-03
  0.382349E+00  0.411228E-03  0.631445E-03
  0.383077E+00  0.203104E-03  0.619884E-03
  0.383805E+00 -0.354441E-03  0.627785E-03
  0.384533E+00  0.482319E-03  0.630700E-03
  0.385261E+00 -0.721131E-04  0.620130E-03
  0.385990E+00  0.261277E-03  0.635357E-03
  0.386718E+00  0.176407E-03  0.639447E-03
  0.387446E+00  0.108932E-03  0.640647E-03
  0.388174E+00  0.159479E-03  0.625284E-03
  0.388902E+00 -0.239463E-03  0.648785E-03
  0.389630E+00 -0.188750E-03  0.642497E-03
