 18-Sep-2016       (1.000 *bam1o20_2mg_avg - 1.012 *bam1o20_buffer_) /  1.0000
bam1o20_2mg_  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.373609E+00  0.463821E-03  0.672960E-03
  0.374338E+00  0.413841E-03  0.664838E-03
  0.375066E+00  0.859648E-03  0.664715E-03
  0.375794E+00  0.116214E-02  0.650771E-03
  0.376523E+00  0.141946E-02  0.646618E-03
  0.377251E+00  0.101432E-02  0.657103E-03
  0.377979E+00  0.720612E-03  0.654314E-03
  0.378708E+00  0.431181E-03  0.644675E-03
  0.379436E+00  0.982912E-03  0.653530E-03
  0.380164E+00  0.165615E-02  0.637248E-03
  0.380892E+00  0.179508E-03  0.649328E-03
  0.381621E+00  0.311116E-03  0.640950E-03
  0.382349E+00  0.123873E-02  0.641776E-03
  0.383077E+00  0.118004E-02  0.626930E-03
  0.383805E+00  0.100451E-02  0.637981E-03
  0.384533E+00  0.560728E-03  0.636927E-03
  0.385261E+00  0.106964E-02  0.632464E-03
  0.385990E+00  0.123802E-02  0.639457E-03
  0.386718E+00  0.130228E-02  0.643683E-03
  0.387446E+00  0.563479E-03  0.644825E-03
  0.388174E+00  0.125174E-02  0.631401E-03
  0.388902E+00  0.520245E-03  0.655077E-03
  0.389630E+00  0.322802E-03  0.651745E-03
  0.390358E+00  0.101192E-02  0.642080E-03
  0.391086E+00  0.105323E-02  0.639274E-03
  0.391814E+00  0.267377E-03  0.627902E-03
